BLItemNo	ElementId	LdrawId	PartName	BLColorId	LDrawColorId	ColorName	ColorCategory	Qty	Weight
11476	6070712	11476	Plate, Modified 1 x 2 with Clip Horizontal on Side	1	15	White	Solid Colors	2	0.46
22885	6123809	22885	Brick, Modified 1 x 2 x 1 2/3 with Studs on 1 Side	86	496	Light Bluish Gray	Rubber Colors	14	1.25
2431	243126	2431	Tile 1 x 4	11	0	Black	Solid Colors	1	0.54
2431	243101	2431	Tile 1 x 4	1	15	White	Solid Colors	1	0.54
3003	300321	3003	Brick 2 x 2	5	4	Red	Solid Colors	2	1.35
3003	4550359	3003	Brick 2 x 2	104	29	Bright Pink	Solid Colors	1	1.35
3004	4613964	3004	Brick 1 x 2	1	15	White	Solid Colors	2	0.8
3010	301001	3010	Brick 1 x 4	1	15	White	Solid Colors	4	1.64
3020	302001	3020	Plate 2 x 4	1	15	White	Solid Colors	1	1.2
3022	4613976	3022	Plate 2 x 2	1	15	White	Solid Colors	2	0.64
3023	302301	3023	Plate 1 x 2	1	15	White	Solid Colors	4	0.36
3031	4243819	3031	Plate 4 x 4	11	0	Black	Solid Colors	1	2.22
3031	4243812	3031	Plate 4 x 4	1	15	White	Solid Colors	5	2.22
3068a		3068a	Tile 2 x 2 without Groove	1	15	White	Solid Colors	2	0.5
3069a		3069a	Tile 1 x 2 without Groove	1	15	White	Solid Colors	2	0.27
3069b	306901	3069b	Tile 1 x 2 with Groove	1	15	White	Solid Colors	2	0.26
3941		3941	Brick, Round 2 x 2 with Axle Hole	36	10	Bright Green	Solid Colors	2	1.2
4032	4211475	4032	Plate, Round 2 x 2 with Axle Hole	86	496	Light Bluish Gray	Rubber Colors	1	0.37
85984	4547489	85984	Slope 30 1 x 2 x 2/3	1	15	White	Solid Colors	2	0.34
87079	4560182	87079	Tile 2 x 4	11	0	Black	Solid Colors	1	0.9
87079	4560178	87079	Tile 2 x 4	1	15	White	Solid Colors	5	0.9
92593	4599499	92593	Plate, Modified 1 x 4 with 2 Studs	11	0	Black	Solid Colors	1	0.61
92593	4597131	92593	Plate, Modified 1 x 4 with 2 Studs	1	15	White	Solid Colors	1	0.61
98138pb072	6284077	98138pb072	Tile, Round 1 x 1 with Large White Square and Small White Square Pattern	11	0	Black	Solid Colors	2	0.15
									
Total qty	Total Weight								
61	61.38								
